t	Theta RK	Omega RK	u	v	Energy
0.001	0.19999	1.00998e-05	-0.0201993	0.0201993	2.02
0.002	0.19996	4.03973e-05	-0.0403946	0.0403946	2.02
0.003	0.199909	9.08862e-05	-0.0605817	0.0605816	2.02
0.004	0.199838	0.000161556	-0.0807567	0.0807565	2.02
0.005	0.199748	0.000252394	-0.100915	0.100915	2.02
0.006	0.199637	0.00036338	-0.121054	0.121053	2.02
0.007	0.199506	0.000494492	-0.141168	0.141167	2.02
0.008	0.199354	0.000645704	-0.161254	0.161252	2.02
0.009	0.199183	0.000816985	-0.181307	0.181305	2.02
0.01	0.198992	0.0010083	-0.201324	0.201321	2.02
0.011	0.19878	0.00121961	-0.2213	0.221296	2.02
0.012	0.198549	0.00145088	-0.241232	0.241227	2.02
0.013	0.198298	0.00170205	-0.261116	0.261108	2.02
0.014	0.198027	0.00197308	-0.280947	0.280938	2.02
0.015	0.197736	0.00226391	-0.300721	0.30071	2.02
0.016	0.197425	0.00257448	-0.320435	0.320422	2.02
0.017	0.197095	0.00290473	-0.340085	0.340069	2.02
0.018	0.196745	0.00325459	-0.359666	0.359647	2.02
0.019	0.196376	0.003624	-0.379175	0.379152	2.02
0.02	0.195987	0.00401287	-0.398608	0.398581	2.02
0.021	0.195579	0.00442113	-0.417961	0.41793	2.02
0.022	0.195151	0.0048487	-0.43723	0.437194	2.02
0.023	0.194704	0.00529549	-0.45641	0.45637	2.02
0.024	0.194238	0.00576141	-0.475499	0.475453	2.02
0.025	0.193753	0.00624637	-0.494493	0.494441	2.02
0.026	0.193249	0.00675026	-0.513387	0.513328	2.02
0.027	0.192727	0.00727299	-0.532178	0.532112	2.02
0.028	0.192185	0.00781445	-0.550862	0.550789	2.02
0.029	0.191625	0.00837453	-0.569435	0.569354	2.02
0.03	0.191046	0.00895312	-0.587894	0.587804	2.02
0.031	0.190449	0.0095501	-0.606235	0.606135	2.02
0.032	0.189834	0.0101653	-0.624454	0.624344	2.02
0.033	0.1892	0.0107987	-0.642547	0.642427	2.02
0.034	0.188549	0.0114502	-0.660511	0.66038	2.02
0.035	0.187879	0.0121195	-0.678342	0.6782	2.02
0.036	0.187192	0.0128065	-0.696038	0.695883	2.02
0.037	0.186487	0.0135112	-0.713593	0.713425	2.02
0.038	0.185765	0.0142333	-0.731005	0.730823	2.02
0.039	0.185025	0.0149728	-0.748269	0.748073	2.02
0.04	0.184268	0.0157294	-0.765384	0.765172	2.02
0.041	0.183495	0.0165031	-0.782345	0.782117	2.02
0.042	0.182704	0.0172936	-0.799148	0.798903	2.02
0.043	0.181896	0.0181008	-0.815791	0.815528	2.02
0.044	0.181072	0.0189246	-0.83227	0.831989	2.02
0.045	0.180232	0.0197647	-0.848582	0.848281	2.02
0.046	0.179375	0.0206211	-0.864723	0.864402	2.02
0.047	0.178502	0.0214935	-0.88069	0.880348	2.02
0.048	0.177614	0.0223817	-0.89648	0.896117	2.02
0.049	0.17671	0.0232857	-0.912091	0.911704	2.02
0.05	0.17579	0.0242051	-0.927518	0.927107	2.02
0.051	0.174855	0.0251398	-0.942758	0.942323	2.02
0.052	0.173904	0.0260897	-0.957809	0.957349	2.02
0.053	0.172939	0.0270544	-0.972668	0.972181	2.02
0.054	0.171959	0.028034	-0.987331	0.986816	2.02
0.055	0.170964	0.029028	-1.0018	1.00125	2.02
0.056	0.169955	0.0300364	-1.01606	1.01549	2.02
0.057	0.168932	0.0310589	-1.03012	1.02952	2.02
0.058	0.167895	0.0320954	-1.04397	1.04334	2.02
0.059	0.166845	0.0331455	-1.05761	1.05695	2.02
0.06	0.16578	0.0342092	-1.07104	1.07034	2.02
0.061	0.164703	0.0352861	-1.08426	1.08352	2.02
0.062	0.163612	0.0363761	-1.09726	1.09648	2.02
0.063	0.162508	0.037479	-1.11003	1.10922	2.02
0.064	0.161392	0.0385945	-1.12259	1.12174	2.02
0.065	0.160263	0.0397224	-1.13491	1.13403	2.02
0.066	0.159122	0.0408625	-1.14701	1.14609	2.02
0.067	0.157969	0.0420145	-1.15888	1.15791	2.02
0.068	0.156804	0.0431783	-1.17052	1.16951	2.02
0.069	0.155628	0.0443535	-1.18192	1.18087	2.02
0.07	0.154441	0.0455399	-1.19308	1.19199	2.02
0.071	0.153242	0.0467374	-1.20401	1.20286	2.02
0.072	0.152033	0.0479456	-1.21469	1.2135	2.02
0.073	0.150813	0.0491643	-1.22513	1.22389	2.02
0.074	0.149582	0.0503932	-1.23532	1.23403	2.02
0.075	0.148342	0.0516322	-1.24527	1.24392	2.02
0.076	0.147092	0.052881	-1.25496	1.25357	2.02
0.077	0.145832	0.0541393	-1.2644	1.26295	2.02
0.078	0.144563	0.0554068	-1.27359	1.27209	2.02
0.079	0.143285	0.0566834	-1.28252	1.28096	2.02
0.08	0.141998	0.0579687	-1.2912	1.28958	2.02
0.081	0.140703	0.0592625	-1.29961	1.29794	2.02
0.082	0.139399	0.0605645	-1.30776	1.30603	2.02
0.083	0.138087	0.0618744	-1.31566	1.31386	2.02
0.084	0.136768	0.0631921	-1.32328	1.32143	2.02
0.085	0.135441	0.0645172	-1.33064	1.32872	2.02
0.086	0.134107	0.0658494	-1.33774	1.33575	2.02
0.087	0.132766	0.0671886	-1.34456	1.34251	2.02
0.088	0.131418	0.0685344	-1.35112	1.349	2.02
0.089	0.130063	0.0698865	-1.3574	1.35521	2.02
0.09	0.128703	0.0712447	-1.36341	1.36115	2.02
0.091	0.127337	0.0726087	-1.36915	1.36682	2.02
0.092	0.125965	0.0739783	-1.37461	1.37221	2.02
0.093	0.124588	0.075353	-1.3798	1.37732	2.02
0.094	0.123205	0.0767328	-1.38471	1.38215	2.02
0.095	0.121818	0.0781173	-1.38934	1.38671	2.02
0.096	0.120427	0.0795061	-1.39369	1.39098	2.02
0.097	0.119031	0.0808991	-1.39777	1.39497	2.02
0.098	0.117631	0.082296	-1.40156	1.39868	2.02
0.099	0.116228	0.0836964	-1.40507	1.40211	2.02
0.1	0.114821	0.0851001	-1.4083	1.40525	2.02
0.101	0.113411	0.0865068	-1.41124	1.40811	2.02
0.102	0.111999	0.0879162	-1.4139	1.41069	2.02
0.103	0.110584	0.0893281	-1.41628	1.41298	2.02
0.104	0.109166	0.0907421	-1.41838	1.41498	2.02
0.105	0.107747	0.0921579	-1.42018	1.4167	2.02
0.106	0.106326	0.0935754	-1.42171	1.41813	2.02
0.107	0.104904	0.0949941	-1.42295	1.41927	2.02
0.108	0.10348	0.0964138	-1.4239	1.42013	2.02
0.109	0.102056	0.0978343	-1.42457	1.4207	2.02
0.11	0.100631	0.0992551	-1.42495	1.42098	2.02
0.111	0.0992062	0.100676	-1.42504	1.42098	2.02
0.112	0.0977812	0.102097	-1.42485	1.42069	2.02
0.113	0.0963566	0.103517	-1.42438	1.42011	2.02
0.114	0.0949326	0.104937	-1.42361	1.41924	2.02
0.115	0.0935095	0.106356	-1.42257	1.41809	2.02
0.116	0.0920876	0.107773	-1.42123	1.41665	2.02
0.117	0.0906671	0.109189	-1.41961	1.41492	2.02
0.118	0.0892484	0.110603	-1.41771	1.41291	2.02
0.119	0.0878318	0.112015	-1.41552	1.41061	2.02
0.12	0.0864175	0.113424	-1.41305	1.40802	2.02
0.121	0.0850058	0.114831	-1.41029	1.40515	2.02
0.122	0.083597	0.116234	-1.40725	1.402	2.02
0.123	0.0821914	0.117635	-1.40393	1.39856	2.02
0.124	0.0807892	0.119031	-1.40033	1.39484	2.02
0.125	0.0793908	0.120424	-1.39645	1.39083	2.02
0.126	0.0779964	0.121813	-1.39228	1.38655	2.02
0.127	0.0766063	0.123197	-1.38784	1.38198	2.02
0.128	0.0752208	0.124577	-1.38312	1.37714	2.02
0.129	0.0738402	0.125951	-1.37812	1.37201	2.02
0.13	0.0724647	0.127321	-1.37284	1.36661	2.02
0.131	0.0710946	0.128684	-1.36729	1.36093	2.02
0.132	0.0697302	0.130042	-1.36147	1.35498	2.02
0.133	0.0683718	0.131394	-1.35537	1.34875	2.02
0.134	0.0670195	0.13274	-1.349	1.34225	2.02
0.135	0.0656738	0.134079	-1.34236	1.33547	2.02
0.136	0.0643349	0.135411	-1.33545	1.32843	2.02
0.137	0.063003	0.136736	-1.32827	1.32112	2.02
0.138	0.0616785	0.138053	-1.32083	1.31354	2.02
0.139	0.0603615	0.139362	-1.31312	1.30569	2.02
0.14	0.0590523	0.140664	-1.30515	1.29758	2.02
0.141	0.0577512	0.141958	-1.29692	1.28921	2.02
0.142	0.0564586	0.143242	-1.28843	1.28057	2.02
0.143	0.0551745	0.144519	-1.27968	1.27168	2.02
0.144	0.0538993	0.145786	-1.27067	1.26252	2.02
0.145	0.0526332	0.147044	-1.26141	1.25312	2.02
0.146	0.0513766	0.148292	-1.25189	1.24345	2.02
0.147	0.0501295	0.14953	-1.24213	1.23354	2.02
0.148	0.0488924	0.150759	-1.23211	1.22337	2.02
0.149	0.0476654	0.151977	-1.22185	1.21296	2.02
0.15	0.0464488	0.153185	-1.21135	1.2023	2.02
0.151	0.0452428	0.154382	-1.2006	1.1914	2.02
0.152	0.0440476	0.155567	-1.18961	1.18026	2.02
0.153	0.0428636	0.156742	-1.17838	1.16888	2.02
0.154	0.041691	0.157905	-1.16692	1.15726	2.02
0.155	0.0405299	0.159056	-1.15523	1.1454	2.02
0.156	0.0393806	0.160196	-1.1433	1.13332	2.02
0.157	0.0382433	0.161323	-1.13114	1.121	2.02
0.158	0.0371184	0.162438	-1.11876	1.10845	2.02
0.159	0.0360059	0.16354	-1.10615	1.09568	2.02
0.16	0.0349061	0.164629	-1.09333	1.08269	2.02
0.161	0.0338193	0.165705	-1.08028	1.06948	2.02
0.162	0.0327457	0.166768	-1.06702	1.05605	2.02
0.163	0.0316854	0.167817	-1.05354	1.04241	2.02
0.164	0.0306386	0.168853	-1.03985	1.02856	2.02
0.165	0.0296057	0.169874	-1.02596	1.01449	2.02
0.166	0.0285868	0.170882	-1.01186	1.00022	2.02
0.167	0.0275821	0.171875	-0.997559	0.985749	2.02
0.168	0.0265917	0.172853	-0.983059	0.971076	2.02
0.169	0.025616	0.173817	-0.968361	0.956205	2.02
0.17	0.0246551	0.174765	-0.953471	0.94114	2.02
0.171	0.0237091	0.175699	-0.93839	0.925884	2.02
0.172	0.0227784	0.176617	-0.923121	0.910439	2.02
0.173	0.021863	0.17752	-0.907668	0.894809	2.02
0.174	0.0209631	0.178407	-0.892035	0.878998	2.02
0.175	0.0200789	0.179278	-0.876223	0.863007	2.02
0.176	0.0192107	0.180133	-0.860236	0.846841	2.02
0.177	0.0183585	0.180971	-0.844078	0.830502	2.02
0.178	0.0175226	0.181794	-0.827751	0.813994	2.02
0.179	0.0167031	0.182599	-0.81126	0.79732	2.02
0.18	0.0159001	0.183388	-0.794607	0.780484	2.02
0.181	0.0151139	0.18416	-0.777795	0.763489	2.02
0.182	0.0143446	0.184915	-0.760829	0.746338	2.02
0.183	0.0135923	0.185653	-0.743711	0.729035	2.02
0.184	0.0128572	0.186373	-0.726445	0.711583	2.02
0.185	0.0121395	0.187076	-0.709035	0.693986	2.02
0.186	0.0114392	0.187761	-0.691483	0.676247	2.02
0.187	0.0107566	0.188428	-0.673794	0.65837	2.02
0.188	0.0100917	0.189078	-0.655971	0.640358	2.02
0.189	0.00944465	0.189709	-0.638018	0.622216	2.02
0.19	0.00881566	0.190322	-0.619939	0.603946	2.02
0.191	0.00820482	0.190917	-0.601736	0.585553	2.02
0.192	0.00761223	0.191493	-0.583414	0.567039	2.02
0.193	0.00703803	0.192051	-0.564976	0.54841	2.02
0.194	0.00648232	0.19259	-0.546427	0.529668	2.02
0.195	0.00594521	0.19311	-0.527769	0.510818	2.02
0.196	0.00542681	0.193612	-0.509007	0.491862	2.02
0.197	0.00492723	0.194094	-0.490144	0.472806	2.02
0.198	0.00444656	0.194557	-0.471185	0.453652	2.02
0.199	0.00398489	0.195001	-0.452132	0.434404	2.02
0.2	0.00354232	0.195426	-0.432991	0.415068	2.02
0.201	0.00311894	0.195831	-0.413764	0.395645	2.02
0.202	0.00271482	0.196217	-0.394456	0.376141	2.02
0.203	0.00233005	0.196584	-0.37507	0.356559	2.02
0.204	0.00196471	0.19693	-0.355611	0.336903	2.02
0.205	0.00161885	0.197257	-0.336082	0.317177	2.02
0.206	0.00129256	0.197565	-0.316488	0.297386	2.02
0.207	0.0009859	0.197852	-0.296832	0.277532	2.02
0.208	0.00069892	0.19812	-0.277118	0.25762	2.02
0.209	0.000431682	0.198367	-0.25735	0.237654	2.02
0.21	0.000184236	0.198595	-0.237533	0.217638	2.02
0.211	-4.3369e-05	0.198803	-0.21767	0.197576	2.02
0.212	-0.00025109	0.19899	-0.197765	0.177473	2.02
0.213	-0.000438886	0.199157	-0.177822	0.157331	2.02
0.214	-0.000606723	0.199305	-0.157846	0.137156	2.02
0.215	-0.000754569	0.199432	-0.13784	0.11695	2.02
0.216	-0.000882396	0.199539	-0.117809	0.0967194	2.02
0.217	-0.000990179	0.199625	-0.0977557	0.0764667	2.02
0.218	-0.0010779	0.199692	-0.0776851	0.0561964	2.02
0.219	-0.00114555	0.199738	-0.057601	0.0359126	2.02
0.22	-0.0011931	0.199763	-0.0375075	0.0156194	2.02
0.221	-0.00122056	0.199769	-0.0174087	-0.00467924	2.02
0.222	-0.00122792	0.199754	0.00269145	-0.0249791	2.02
0.223	-0.00121518	0.199719	0.0227888	-0.0452762	2.02
0.224	-0.00118234	0.199663	0.0428793	-0.0655664	2.02
0.225	-0.00112942	0.199588	0.062959	-0.0858457	2.02
0.226	-0.00105643	0.199492	0.0830237	-0.10611	2.02
0.227	-0.00096338	0.199376	0.103069	-0.126355	2.02
0.228	-0.000850297	0.199239	0.123092	-0.146577	2.02
0.229	-0.000717205	0.199082	0.143088	-0.166772	2.02
0.23	-0.000564133	0.198906	0.163052	-0.186935	2.02
0.231	-0.000391113	0.198709	0.182981	-0.207063	2.02
0.232	-0.000198183	0.198491	0.202871	-0.227152	2.02
0.233	1.46156e-05	0.198254	0.222718	-0.247197	2.02
0.234	0.000247238	0.197997	0.242518	-0.267195	2.02
0.235	0.000499635	0.19772	0.262266	-0.287141	2.02
0.236	0.000771752	0.197423	0.28196	-0.307032	2.02
0.237	0.00106353	0.197106	0.301594	-0.326864	2.02
0.238	0.00137492	0.196769	0.321165	-0.346631	2.02
0.239	0.00170584	0.196413	0.340669	-0.366332	2.02
0.24	0.00205623	0.196036	0.360101	-0.385961	2.02
0.241	0.00242602	0.195641	0.379459	-0.405515	2.02
0.242	0.00281512	0.195225	0.398738	-0.424989	2.02
0.243	0.00322347	0.194791	0.417934	-0.44438	2.02
0.244	0.00365096	0.194337	0.437044	-0.463684	2.02
0.245	0.00409753	0.193863	0.456063	-0.482897	2.02
0.246	0.00456306	0.193371	0.474988	-0.502016	2.02
0.247	0.00504747	0.192859	0.493814	-0.521035	2.02
0.248	0.00555065	0.192329	0.512539	-0.539952	2.02
0.249	0.00607251	0.19178	0.531157	-0.558763	2.02
0.25	0.00661293	0.191211	0.549667	-0.577464	2.02
0.251	0.0071718	0.190625	0.568063	-0.596051	2.02
0.252	0.00774902	0.190019	0.586342	-0.61452	2.02
0.253	0.00834445	0.189396	0.6045	-0.632868	2.02
0.254	0.00895798	0.188754	0.622534	-0.651091	2.02
0.255	0.00958947	0.188094	0.64044	-0.669186	2.02
0.256	0.0102388	0.187415	0.658214	-0.687148	2.02
0.257	0.0109059	0.186719	0.675854	-0.704974	2.02
0.258	0.0115905	0.186005	0.693354	-0.722661	2.02
0.259	0.0122925	0.185274	0.710712	-0.740205	2.02
0.26	0.0130118	0.184525	0.727925	-0.757602	2.02
0.261	0.0137483	0.183759	0.744988	-0.774849	2.02
0.262	0.0145018	0.182975	0.761898	-0.791943	2.02
0.263	0.0152721	0.182175	0.778652	-0.80888	2.02
0.264	0.016059	0.181358	0.795247	-0.825656	2.02
0.265	0.0168625	0.180524	0.811679	-0.842269	2.02
0.266	0.0176823	0.179673	0.827944	-0.858715	2.02
0.267	0.0185183	0.178806	0.84404	-0.87499	2.02
0.268	0.0193703	0.177923	0.859964	-0.891092	2.02
0.269	0.0202382	0.177024	0.875711	-0.907017	2.02
0.27	0.0211217	0.176109	0.89128	-0.922762	2.02
0.271	0.0220207	0.175179	0.906665	-0.938323	2.02
0.272	0.022935	0.174233	0.921866	-0.953699	2.02
0.273	0.0238644	0.173271	0.936878	-0.968884	2.02
0.274	0.0248087	0.172295	0.951699	-0.983878	2.02
0.275	0.0257677	0.171304	0.966325	-0.998676	2.02
0.276	0.0267413	0.170298	0.980753	-1.01328	2.02
0.277	0.0277291	0.169277	0.994982	-1.02767	2.02
0.278	0.0287312	0.168242	1.00901	-1.04187	2.02
0.279	0.0297471	0.167194	1.02283	-1.05585	2.02
0.28	0.0307767	0.166131	1.03644	-1.06963	2.02
0.281	0.0318199	0.165054	1.04983	-1.08319	2.02
0.282	0.0328763	0.163965	1.06302	-1.09654	2.02
0.283	0.0339459	0.162861	1.07598	-1.10967	2.02
0.284	0.0350282	0.161745	1.08873	-1.12258	2.02
0.285	0.0361232	0.160616	1.10126	-1.13527	2.02
0.286	0.0372307	0.159475	1.11356	-1.14773	2.02
0.287	0.0383503	0.158321	1.12563	-1.15996	2.02
0.288	0.0394819	0.157155	1.13747	-1.17196	2.02
0.289	0.0406252	0.155977	1.14909	-1.18373	2.02
0.29	0.0417799	0.154788	1.16046	-1.19526	2.02
0.291	0.042946	0.153587	1.1716	-1.20656	2.02
0.292	0.0441231	0.152375	1.1825	-1.21761	2.02
0.293	0.0453109	0.151151	1.19316	-1.22842	2.02
0.294	0.0465093	0.149918	1.20358	-1.23899	2.02
0.295	0.047718	0.148674	1.21375	-1.24931	2.02
0.296	0.0489367	0.147419	1.22368	-1.25938	2.02
0.297	0.0501653	0.146155	1.23335	-1.2692	2.02
0.298	0.0514034	0.144881	1.24277	-1.27877	2.02
0.299	0.0526507	0.143597	1.25194	-1.28809	2.02
0.3	0.0539072	0.142305	1.26086	-1.29714	2.02
0.301	0.0551724	0.141003	1.26951	-1.30594	2.02
0.302	0.0564461	0.139693	1.27791	-1.31448	2.02
0.303	0.0577281	0.138374	1.28605	-1.32276	2.02
0.304	0.0590181	0.137048	1.29392	-1.33077	2.02
0.305	0.0603159	0.135713	1.30154	-1.33852	2.02
0.306	0.0616211	0.134371	1.30888	-1.346	2.02
0.307	0.0629335	0.133021	1.31596	-1.35321	2.02
0.308	0.0642529	0.131664	1.32277	-1.36016	2.02
0.309	0.065579	0.130301	1.32932	-1.36683	2.02
0.31	0.0669115	0.128931	1.33559	-1.37323	2.02
0.311	0.0682501	0.127554	1.34159	-1.37936	2.02
0.312	0.0695946	0.126172	1.34731	-1.38521	2.02
0.313	0.0709446	0.124784	1.35276	-1.39079	2.02
0.314	0.0723	0.123391	1.35794	-1.39608	2.02
0.315	0.0736604	0.121992	1.36283	-1.40111	2.02
0.316	0.0750256	0.120589	1.36746	-1.40585	2.02
0.317	0.0763952	0.11918	1.3718	-1.41031	2.02
0.318	0.0777691	0.117768	1.37586	-1.41449	2.02
0.319	0.0791468	0.116352	1.37964	-1.41839	2.02
0.32	0.0805283	0.114931	1.38314	-1.422	2.02
0.321	0.081913	0.113508	1.38636	-1.42534	2.02
0.322	0.0833009	0.112081	1.3893	-1.42839	2.02
0.323	0.0846915	0.110651	1.39195	-1.43115	2.02
0.324	0.0860847	0.109219	1.39432	-1.43363	2.02
0.325	0.0874801	0.107784	1.3964	-1.43582	2.02
0.326	0.0888774	0.106347	1.3982	-1.43773	2.02
0.327	0.0902764	0.104908	1.39972	-1.43935	2.02
0.328	0.0916767	0.103468	1.40095	-1.44069	2.02
0.329	0.0930782	0.102027	1.4019	-1.44173	2.02
0.33	0.0944804	0.100585	1.40255	-1.44249	2.02
0.331	0.0958832	0.0991422	1.40293	-1.44297	2.02
0.332	0.0972862	0.0976991	1.40301	-1.44315	2.02
0.333	0.0986891	0.096256	1.40282	-1.44305	2.02
0.334	0.100092	0.0948131	1.40233	-1.44266	2.02
0.335	0.101494	0.0933708	1.40156	-1.44198	2.02
0.336	0.102895	0.0919293	1.4005	-1.44102	2.02
0.337	0.104295	0.0904888	1.39916	-1.43977	2.02
0.338	0.105693	0.0890498	1.39753	-1.43823	2.02
0.339	0.10709	0.0876125	1.39562	-1.43641	2.02
0.34	0.108484	0.0861771	1.39342	-1.4343	2.02
0.341	0.109876	0.084744	1.39094	-1.4319	2.02
0.342	0.111266	0.0833134	1.38818	-1.42922	2.02
0.343	0.112653	0.0818856	1.38513	-1.42626	2.02
0.344	0.114036	0.080461	1.3818	-1.42301	2.02
0.345	0.115416	0.0790397	1.37819	-1.41947	2.02
0.346	0.116792	0.0776221	1.37429	-1.41566	2.02
0.347	0.118165	0.0762085	1.37012	-1.41156	2.02
0.348	0.119533	0.0747991	1.36567	-1.40718	2.02
0.349	0.120896	0.0733942	1.36093	-1.40253	2.02
0.35	0.122254	0.0719941	1.35592	-1.39759	2.02
0.351	0.123608	0.0705991	1.35064	-1.39237	2.02
0.352	0.124955	0.0692095	1.34508	-1.38688	2.02
0.353	0.126298	0.0678255	1.33924	-1.38111	2.02
0.354	0.127634	0.0664473	1.33313	-1.37507	2.02
0.355	0.128964	0.0650754	1.32675	-1.36875	2.02
0.356	0.130287	0.0637099	1.32009	-1.36217	2.02
0.357	0.131604	0.0623512	1.31317	-1.35531	2.02
0.358	0.132914	0.0609994	1.30598	-1.34818	2.02
0.359	0.134216	0.0596549	1.29852	-1.34078	2.02
0.36	0.13551	0.0583179	1.2908	-1.33312	2.02
0.361	0.136797	0.0569888	1.28281	-1.32519	2.02
0.362	0.138076	0.0556676	1.27457	-1.317	2.02
0.363	0.139346	0.0543549	1.26606	-1.30854	2.02
0.364	0.140608	0.0530506	1.25729	-1.29983	2.02
0.365	0.141861	0.0517553	1.24826	-1.29086	2.02
0.366	0.143104	0.050469	1.23898	-1.28163	2.02
0.367	0.144339	0.0491921	1.22945	-1.27214	2.02
0.368	0.145563	0.0479248	1.21967	-1.26241	2.02
0.369	0.146778	0.0466674	1.20963	-1.25242	2.02
0.37	0.147982	0.0454201	1.19935	-1.24219	2.02
0.371	0.149177	0.0441831	1.18883	-1.2317	2.02
0.372	0.15036	0.0429567	1.17806	-1.22098	2.02
0.373	0.151533	0.0417412	1.16705	-1.21001	2.02
0.374	0.152694	0.0405368	1.1558	-1.1988	2.02
0.375	0.153844	0.0393437	1.14431	-1.18735	2.02
0.376	0.154983	0.0381622	1.13259	-1.17567	2.02
0.377	0.156109	0.0369924	1.12064	-1.16376	2.02
0.378	0.157224	0.0358347	1.10845	-1.15161	2.02
0.379	0.158326	0.0346893	1.09604	-1.13924	2.02
0.38	0.159416	0.0335563	1.08341	-1.12664	2.02
0.381	0.160493	0.0324361	1.07055	-1.11382	2.02
0.382	0.161557	0.0313288	1.05748	-1.10077	2.02
0.383	0.162608	0.0302346	1.04419	-1.08751	2.02
0.384	0.163645	0.0291538	1.03068	-1.07403	2.02
0.385	0.164669	0.0280866	1.01696	-1.06034	2.02
0.386	0.165679	0.0270332	1.00304	-1.04644	2.02
0.387	0.166675	0.0259938	0.988903	-1.03234	2.02
0.388	0.167657	0.0249686	0.974567	-1.01803	2.02
0.389	0.168624	0.0239578	0.960031	-1.00352	2.02
0.39	0.169577	0.0229616	0.945297	-0.988807	2.02
0.391	0.170515	0.0219802	0.930369	-0.973901	2.02
0.392	0.171437	0.0210139	0.91525	-0.958804	2.02
0.393	0.172345	0.0200627	0.899943	-0.943517	2.02
0.394	0.173237	0.0191269	0.88445	-0.928044	2.02
0.395	0.174114	0.0182067	0.868775	-0.912387	2.02
0.396	0.174975	0.0173022	0.852921	-0.896551	2.02
0.397	0.17582	0.0164136	0.836892	-0.880539	2.02
0.398	0.176648	0.0155412	0.82069	-0.864352	2.02
0.399	0.177461	0.014685	0.804318	-0.847996	2.02
0.4	0.178257	0.0138452	0.787781	-0.831473	2.02
0.401	0.179036	0.0130221	0.77108	-0.814786	2.02
0.402	0.179799	0.0122157	0.754221	-0.797939	2.02
0.403	0.180545	0.0114263	0.737205	-0.780935	2.02
0.404	0.181274	0.0106539	0.720037	-0.763778	2.02
0.405	0.181985	0.00989876	0.70272	-0.746471	2.02
0.406	0.182679	0.009161	0.685257	-0.729018	2.02
0.407	0.183355	0.00844077	0.667652	-0.711422	2.02
0.408	0.184014	0.0077382	0.649909	-0.693686	2.02
0.409	0.184655	0.00705344	0.63203	-0.675815	2.02
0.41	0.185278	0.00638662	0.61402	-0.657812	2.02
0.411	0.185883	0.00573786	0.595883	-0.63968	2.02
0.412	0.18647	0.0051073	0.577621	-0.621424	2.02
0.413	0.187038	0.00449505	0.559238	-0.603046	2.02
0.414	0.187588	0.00390125	0.540739	-0.584551	2.02
0.415	0.18812	0.00332599	0.522127	-0.565943	2.02
0.416	0.188633	0.0027694	0.503405	-0.547224	2.02
0.417	0.189127	0.00223158	0.484578	-0.5284	2.02
0.418	0.189602	0.00171263	0.465649	-0.509473	2.02
0.419	0.190058	0.00121266	0.446623	-0.490448	2.02
0.42	0.190495	0.000731767	0.427502	-0.471327	2.02
0.421	0.190913	0.000270038	0.40829	-0.452117	2.02
0.422	0.191311	-0.000172437	0.388993	-0.432819	2.02
0.423	0.191691	-0.000595573	0.369612	-0.413438	2.02
0.424	0.192051	-0.000999287	0.350153	-0.393978	2.02
0.425	0.192391	-0.0013835	0.330619	-0.374443	2.02
0.426	0.192712	-0.00174815	0.311015	-0.354837	2.02
0.427	0.193013	-0.00209316	0.291343	-0.335164	2.02
0.428	0.193295	-0.00241846	0.271609	-0.315427	2.02
0.429	0.193556	-0.00272399	0.251815	-0.295631	2.02
0.43	0.193798	-0.0030097	0.231967	-0.27578	2.02
0.431	0.19402	-0.00327553	0.212068	-0.255877	2.02
0.432	0.194222	-0.00352144	0.192121	-0.235927	2.02
0.433	0.194404	-0.00374737	0.172132	-0.215934	2.02
0.434	0.194566	-0.0039533	0.152103	-0.195902	2.02
0.435	0.194709	-0.00413917	0.13204	-0.175835	2.02
0.436	0.194831	-0.00430495	0.111946	-0.155736	2.02
0.437	0.194932	-0.00445063	0.0918246	-0.135611	2.02
0.438	0.195014	-0.00457617	0.0716806	-0.115462	2.02
0.439	0.195076	-0.00468155	0.0515179	-0.0952949	2.02
0.44	0.195117	-0.00476675	0.0313404	-0.0751126	2.02
0.441	0.195138	-0.00483177	0.0111522	-0.0549196	2.02
0.442	0.19514	-0.00487659	-0.00904262	-0.03472	2.02
0.443	0.19512	-0.00490121	-0.02924	-0.0145178	2.02
0.444	0.195081	-0.00490563	-0.0494358	0.00568301	2.02
0.445	0.195022	-0.00488985	-0.0696261	0.0258782	2.02
0.446	0.194942	-0.00485387	-0.0898068	0.0460637	2.02
0.447	0.194842	-0.00479772	-0.109974	0.0662356	2.02
0.448	0.194722	-0.00472141	-0.130123	0.0863896	2.02
0.449	0.194582	-0.00462495	-0.150251	0.106522	2.02
0.45	0.194421	-0.00450837	-0.170352	0.126628	2.02
0.451	0.194241	-0.0043717	-0.190424	0.146704	2.02
0.452	0.194041	-0.00421498	-0.210462	0.166746	2.02
0.453	0.19382	-0.00403822	-0.230462	0.18675	2.02
0.454	0.19358	-0.00384149	-0.25042	0.206712	2.02
0.455	0.193319	-0.00362481	-0.270332	0.226628	2.02
0.456	0.193039	-0.00338825	-0.290194	0.246494	2.02
0.457	0.192739	-0.00313185	-0.310002	0.266305	2.02
0.458	0.192419	-0.00285566	-0.329752	0.286058	2.02
0.459	0.192079	-0.00255975	-0.349441	0.305749	2.02
0.46	0.19172	-0.00224418	-0.369063	0.325374	2.02
0.461	0.191341	-0.00190902	-0.388616	0.344929	2.02
0.462	0.190943	-0.00155435	-0.408094	0.364409	2.02
